bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
660586,MAESTRO,DEBIT,,,,,,,,,
660587,MAESTRO,DEBIT,,,,,,,,,
660588,MAESTRO,DEBIT,,,,,,,,,
660589,MAESTRO,DEBIT,,,,,,,,,
660590,MAESTRO,DEBIT,,,,,,,,,
660591,MAESTRO,DEBIT,,,,,,,,,
660592,MAESTRO,DEBIT,,,,,,,,,
660593,MAESTRO,DEBIT,,,,,,,,,
660594,MAESTRO,DEBIT,,,,,,,,,
660595,MAESTRO,DEBIT,,,,,,,,,
660596,MAESTRO,DEBIT,,,,,,,,,
660597,MAESTRO,DEBIT,,,,,,,,,
660598,MAESTRO,DEBIT,,,,,,,,,
660599,MAESTRO,DEBIT,,,,,,,,,
660600,MAESTRO,DEBIT,,,,,,,,,
660601,MAESTRO,DEBIT,,,,,,,,,
660602,MAESTRO,DEBIT,,,,,,,,,
660603,MAESTRO,DEBIT,,,,,,,,,
660604,MAESTRO,DEBIT,,,,,,,,,
660605,MAESTRO,DEBIT,,,,,,,,,
660606,MAESTRO,DEBIT,,,,,,,,,
660607,MAESTRO,DEBIT,,,,,,,,,
660608,MAESTRO,DEBIT,,,,,,,,,
660609,MAESTRO,DEBIT,,,,,,,,,
660610,MAESTRO,DEBIT,,,,,,,,,
660611,MAESTRO,DEBIT,,,,,,,,,
660612,MAESTRO,DEBIT,,,,,,,,,
660613,MAESTRO,DEBIT,,,,,,,,,
660614,MAESTRO,DEBIT,,,,,,,,,
660615,MAESTRO,DEBIT,,,,,,,,,
660616,MAESTRO,DEBIT,,,,,,,,,
660617,MAESTRO,DEBIT,,,,,,,,,
660618,MAESTRO,DEBIT,,,,,,,,,
660619,MAESTRO,DEBIT,,,,,,,,,
660620,MAESTRO,DEBIT,,,,,,,,,
660621,MAESTRO,DEBIT,,,,,,,,,
660622,MAESTRO,DEBIT,,,,,,,,,
660623,MAESTRO,DEBIT,,,,,,,,,
660624,MAESTRO,DEBIT,,,,,,,,,
660625,MAESTRO,DEBIT,,,,,,,,,
660626,MAESTRO,DEBIT,,,,,,,,,
660627,MAESTRO,DEBIT,,,,,,,,,
660628,MAESTRO,DEBIT,,,,,,,,,
660629,MAESTRO,DEBIT,,,,,,,,,
660630,MAESTRO,DEBIT,,,,,,,,,
660631,MAESTRO,DEBIT,,,,,,,,,
660632,MAESTRO,DEBIT,,,,,,,,,
660633,MAESTRO,DEBIT,,,,,,,,,
660634,MAESTRO,DEBIT,,,,,,,,,
660635,MAESTRO,DEBIT,,,,,,,,,
660636,MAESTRO,DEBIT,,,,,,,,,
660637,MAESTRO,DEBIT,,,,,,,,,
660638,MAESTRO,DEBIT,,,,,,,,,
660639,MAESTRO,DEBIT,,,,,,,,,
660640,MAESTRO,DEBIT,,,,,,,,,
660641,MAESTRO,DEBIT,,,,,,,,,
660642,MAESTRO,DEBIT,,,,,,,,,
660643,MAESTRO,DEBIT,,,,,,,,,
660644,MAESTRO,DEBIT,,,,,,,,,
660645,MAESTRO,DEBIT,,,,,,,,,
660646,MAESTRO,DEBIT,,,,,,,,,
660647,MAESTRO,DEBIT,,,,,,,,,
660648,MAESTRO,DEBIT,,,,,,,,,
660649,MAESTRO,DEBIT,,,,,,,,,
660650,MAESTRO,DEBIT,,,,,,,,,
660651,MAESTRO,DEBIT,,,,,,,,,
660652,MAESTRO,DEBIT,,,,,,,,,
660653,MAESTRO,DEBIT,,,,,,,,,
660654,MAESTRO,DEBIT,,,,,,,,,
660655,MAESTRO,DEBIT,,,,,,,,,
660656,MAESTRO,DEBIT,,,,,,,,,
660657,MAESTRO,DEBIT,,,,,,,,,
660658,MAESTRO,DEBIT,,,,,,,,,
660659,MAESTRO,DEBIT,,,,,,,,,
660660,MAESTRO,DEBIT,,,,,,,,,
660661,MAESTRO,DEBIT,,,,,,,,,
660662,MAESTRO,DEBIT,,,,,,,,,
660663,MAESTRO,DEBIT,,,,,,,,,
660664,MAESTRO,DEBIT,,,,,,,,,
660665,MAESTRO,DEBIT,,,,,,,,,
660666,MAESTRO,DEBIT,,,,,,,,,
660667,MAESTRO,DEBIT,,,,,,,,,
660668,MAESTRO,DEBIT,,,,,,,,,
660669,MAESTRO,DEBIT,,,,,,,,,
660670,MAESTRO,DEBIT,,,,,,,,,
660671,MAESTRO,DEBIT,,,,,,,,,
660672,MAESTRO,DEBIT,,,,,,,,,
660673,MAESTRO,DEBIT,,,,,,,,,
660674,MAESTRO,DEBIT,,,,,,,,,
660675,MAESTRO,DEBIT,,,,,,,,,
660676,MAESTRO,DEBIT,,,,,,,,,
660677,MAESTRO,DEBIT,,,,,,,,,
660678,MAESTRO,DEBIT,,,,,,,,,
660679,MAESTRO,DEBIT,,,,,,,,,
660680,MAESTRO,DEBIT,,,,,,,,,
660681,MAESTRO,DEBIT,,,,,,,,,
660682,MAESTRO,DEBIT,,,,,,,,,
660683,MAESTRO,DEBIT,,,,,,,,,
660684,MAESTRO,DEBIT,,,,,,,,,
660685,MAESTRO,DEBIT,,,,,,,,,
660686,MAESTRO,DEBIT,,,,,,,,,
660687,MAESTRO,DEBIT,,,,,,,,,
660688,MAESTRO,DEBIT,,,,,,,,,
660689,MAESTRO,DEBIT,,,,,,,,,
660690,MAESTRO,DEBIT,,,,,,,,,
660691,MAESTRO,DEBIT,,,,,,,,,
660692,MAESTRO,DEBIT,,,,,,,,,
660693,MAESTRO,DEBIT,,,,,,,,,
660694,MAESTRO,DEBIT,,,,,,,,,
660695,MAESTRO,DEBIT,,,,,,,,,
660696,MAESTRO,DEBIT,,,,,,,,,
660697,MAESTRO,DEBIT,,,,,,,,,
660698,MAESTRO,DEBIT,,,,,,,,,
660699,MAESTRO,DEBIT,,,,,,,,,
660700,MAESTRO,DEBIT,,,,,,,,,
660701,MAESTRO,DEBIT,,,,,,,,,
660702,MAESTRO,DEBIT,,,,,,,,,
660703,MAESTRO,DEBIT,,,,,,,,,
660704,MAESTRO,DEBIT,,,,,,,,,
660705,MAESTRO,DEBIT,,,,,,,,,
660706,MAESTRO,DEBIT,,,,,,,,,
660707,MAESTRO,DEBIT,,,,,,,,,
660708,MAESTRO,DEBIT,,,,,,,,,
660709,MAESTRO,DEBIT,,,,,,,,,
660710,MAESTRO,DEBIT,,,,,,,,,
660711,MAESTRO,DEBIT,,,,,,,,,
660712,MAESTRO,DEBIT,,,,,,,,,
660713,MAESTRO,DEBIT,,,,,,,,,
660714,MAESTRO,DEBIT,,,,,,,,,
660715,MAESTRO,DEBIT,,,,,,,,,
660716,MAESTRO,DEBIT,,,,,,,,,
660717,MAESTRO,DEBIT,,,,,,,,,
660718,MAESTRO,DEBIT,,,,,,,,,
660719,MAESTRO,DEBIT,,,,,,,,,
660720,MAESTRO,DEBIT,,,,,,,,,
660721,MAESTRO,DEBIT,,,,,,,,,
660722,MAESTRO,DEBIT,,,,,,,,,
660723,MAESTRO,DEBIT,,,,,,,,,
660724,MAESTRO,DEBIT,,,,,,,,,
660725,MAESTRO,DEBIT,,,,,,,,,
660726,MAESTRO,DEBIT,,,,,,,,,
660727,MAESTRO,DEBIT,,,,,,,,,
660728,MAESTRO,DEBIT,,,,,,,,,
660729,MAESTRO,DEBIT,,,,,,,,,
660730,MAESTRO,DEBIT,,,,,,,,,
660731,MAESTRO,DEBIT,,,,,,,,,
660732,MAESTRO,DEBIT,,,,,,,,,
660733,MAESTRO,DEBIT,,,,,,,,,
660734,MAESTRO,DEBIT,,,,,,,,,
660735,MAESTRO,DEBIT,,,,,,,,,
660736,MAESTRO,DEBIT,,,,,,,,,
660737,MAESTRO,DEBIT,,,,,,,,,
660738,MAESTRO,DEBIT,,,,,,,,,
660739,MAESTRO,DEBIT,,,,,,,,,
660740,MAESTRO,DEBIT,,,,,,,,,
660741,MAESTRO,DEBIT,,,,,,,,,
660742,MAESTRO,DEBIT,,,,,,,,,
660743,MAESTRO,DEBIT,,,,,,,,,
660744,MAESTRO,DEBIT,,,,,,,,,
660745,MAESTRO,DEBIT,,,,,,,,,
660746,MAESTRO,DEBIT,,,,,,,,,
660747,MAESTRO,DEBIT,,,,,,,,,
660748,MAESTRO,DEBIT,,,,,,,,,
660749,MAESTRO,DEBIT,,,,,,,,,
660750,MAESTRO,DEBIT,,,,,,,,,
660751,MAESTRO,DEBIT,,,,,,,,,
660752,MAESTRO,DEBIT,,,,,,,,,
660753,MAESTRO,DEBIT,,,,,,,,,
660754,MAESTRO,DEBIT,,,,,,,,,
660755,MAESTRO,DEBIT,,,,,,,,,
660756,MAESTRO,DEBIT,,,,,,,,,
660757,MAESTRO,DEBIT,,,,,,,,,
660758,MAESTRO,DEBIT,,,,,,,,,
660759,MAESTRO,DEBIT,,,,,,,,,
660760,MAESTRO,DEBIT,,,,,,,,,
660761,MAESTRO,DEBIT,,,,,,,,,
660762,MAESTRO,DEBIT,,,,,,,,,
660763,MAESTRO,DEBIT,,,,,,,,,
660764,MAESTRO,DEBIT,,,,,,,,,
660765,MAESTRO,DEBIT,,,,,,,,,
660766,MAESTRO,DEBIT,,,,,,,,,
660767,MAESTRO,DEBIT,,,,,,,,,
660768,MAESTRO,DEBIT,,,,,,,,,
660769,MAESTRO,DEBIT,,,,,,,,,
660770,MAESTRO,DEBIT,,,,,,,,,
660771,MAESTRO,DEBIT,,,,,,,,,
660772,MAESTRO,DEBIT,,,,,,,,,
660773,MAESTRO,DEBIT,,,,,,,,,
660774,MAESTRO,DEBIT,,,,,,,,,
660775,MAESTRO,DEBIT,,,,,,,,,
660776,MAESTRO,DEBIT,,,,,,,,,
660777,MAESTRO,DEBIT,,,,,,,,,
660778,MAESTRO,DEBIT,,,,,,,,,
660779,MAESTRO,DEBIT,,,,,,,,,
660780,MAESTRO,DEBIT,,,,,,,,,
660781,MAESTRO,DEBIT,,,,,,,,,
660782,MAESTRO,DEBIT,,,,,,,,,
660783,MAESTRO,DEBIT,,,,,,,,,
660784,MAESTRO,DEBIT,,,,,,,,,
660785,MAESTRO,DEBIT,,,,,,,,,
660786,MAESTRO,DEBIT,,,,,,,,,
660787,MAESTRO,DEBIT,,,,,,,,,
660788,MAESTRO,DEBIT,,,,,,,,,
660789,MAESTRO,DEBIT,,,,,,,,,
660790,MAESTRO,DEBIT,,,,,,,,,
660791,MAESTRO,DEBIT,,,,,,,,,
660792,MAESTRO,DEBIT,,,,,,,,,
660793,MAESTRO,DEBIT,,,,,,,,,
660794,MAESTRO,DEBIT,,,,,,,,,
660795,MAESTRO,DEBIT,,,,,,,,,
660796,MAESTRO,DEBIT,,,,,,,,,
660797,MAESTRO,DEBIT,,,,,,,,,
660798,MAESTRO,DEBIT,,,,,,,,,
660799,MAESTRO,DEBIT,,,,,,,,,
660800,MAESTRO,DEBIT,,,,,,,,,
660801,MAESTRO,DEBIT,,,,,,,,,
660802,MAESTRO,DEBIT,,,,,,,,,
660803,MAESTRO,DEBIT,,,,,,,,,
660804,MAESTRO,DEBIT,,,,,,,,,
660805,MAESTRO,DEBIT,,,,,,,,,
660806,MAESTRO,DEBIT,,,,,,,,,
660807,MAESTRO,DEBIT,,,,,,,,,
660808,MAESTRO,DEBIT,,,,,,,,,
660809,MAESTRO,DEBIT,,,,,,,,,
660810,MAESTRO,DEBIT,,,,,,,,,
660811,MAESTRO,DEBIT,,,,,,,,,
660812,MAESTRO,DEBIT,,,,,,,,,
660813,MAESTRO,DEBIT,,,,,,,,,
660814,MAESTRO,DEBIT,,,,,,,,,
660815,MAESTRO,DEBIT,,,,,,,,,
660816,MAESTRO,DEBIT,,,,,,,,,
660817,MAESTRO,DEBIT,,,,,,,,,
660818,MAESTRO,DEBIT,,,,,,,,,
660819,MAESTRO,DEBIT,,,,,,,,,
660820,MAESTRO,DEBIT,,,,,,,,,
660821,MAESTRO,DEBIT,,,,,,,,,
660822,MAESTRO,DEBIT,,,,,,,,,
660823,MAESTRO,DEBIT,,,,,,,,,
660824,MAESTRO,DEBIT,,,,,,,,,
660825,MAESTRO,DEBIT,,,,,,,,,
660826,MAESTRO,DEBIT,,,,,,,,,
660827,MAESTRO,DEBIT,,,,,,,,,
660828,MAESTRO,DEBIT,,,,,,,,,
660829,MAESTRO,DEBIT,,,,,,,,,
660830,MAESTRO,DEBIT,,,,,,,,,
660831,MAESTRO,DEBIT,,,,,,,,,
660832,MAESTRO,DEBIT,,,,,,,,,
660833,MAESTRO,DEBIT,,,,,,,,,
660834,MAESTRO,DEBIT,,,,,,,,,
660835,MAESTRO,DEBIT,,,,,,,,,
660836,MAESTRO,DEBIT,,,,,,,,,
660837,MAESTRO,DEBIT,,,,,,,,,
660838,MAESTRO,DEBIT,,,,,,,,,
660839,MAESTRO,DEBIT,,,,,,,,,
660840,MAESTRO,DEBIT,,,,,,,,,
660841,MAESTRO,DEBIT,,,,,,,,,
660842,MAESTRO,DEBIT,,,,,,,,,
660843,MAESTRO,DEBIT,,,,,,,,,
660844,MAESTRO,DEBIT,,,,,,,,,
660845,MAESTRO,DEBIT,,,,,,,,,
660846,MAESTRO,DEBIT,,,,,,,,,
660847,MAESTRO,DEBIT,,,,,,,,,
660848,MAESTRO,DEBIT,,,,,,,,,
660849,MAESTRO,DEBIT,,,,,,,,,
660850,MAESTRO,DEBIT,,,,,,,,,
660851,MAESTRO,DEBIT,,,,,,,,,
660852,MAESTRO,DEBIT,,,,,,,,,
660853,MAESTRO,DEBIT,,,,,,,,,
660854,MAESTRO,DEBIT,,,,,,,,,
660855,MAESTRO,DEBIT,,,,,,,,,
660856,MAESTRO,DEBIT,,,,,,,,,
660857,MAESTRO,DEBIT,,,,,,,,,
660858,MAESTRO,DEBIT,,,,,,,,,
660859,MAESTRO,DEBIT,,,,,,,,,
660860,MAESTRO,DEBIT,,,,,,,,,
660861,MAESTRO,DEBIT,,,,,,,,,
660862,MAESTRO,DEBIT,,,,,,,,,
660863,MAESTRO,DEBIT,,,,,,,,,
660864,MAESTRO,DEBIT,,,,,,,,,
660865,MAESTRO,DEBIT,,,,,,,,,
660866,MAESTRO,DEBIT,,,,,,,,,
660867,MAESTRO,DEBIT,,,,,,,,,
660868,MAESTRO,DEBIT,,,,,,,,,
660869,MAESTRO,DEBIT,,,,,,,,,
660870,MAESTRO,DEBIT,,,,,,,,,
660871,MAESTRO,DEBIT,,,,,,,,,
660872,MAESTRO,DEBIT,,,,,,,,,
660873,MAESTRO,DEBIT,,,,,,,,,
660874,MAESTRO,DEBIT,,,,,,,,,
660875,MAESTRO,DEBIT,,,,,,,,,
660876,MAESTRO,DEBIT,,,,,,,,,
660877,MAESTRO,DEBIT,,,,,,,,,
660878,MAESTRO,DEBIT,,,,,,,,,
660879,MAESTRO,DEBIT,,,,,,,,,
660880,MAESTRO,DEBIT,,,,,,,,,
660881,MAESTRO,DEBIT,,,,,,,,,
660882,MAESTRO,DEBIT,,,,,,,,,
660883,MAESTRO,DEBIT,,,,,,,,,
660884,MAESTRO,DEBIT,,,,,,,,,
660885,MAESTRO,DEBIT,,,,,,,,,
660886,MAESTRO,DEBIT,,,,,,,,,
660887,MAESTRO,DEBIT,,,,,,,,,
660888,MAESTRO,DEBIT,,,,,,,,,
660889,MAESTRO,DEBIT,,,,,,,,,
660890,MAESTRO,DEBIT,,,,,,,,,
660891,MAESTRO,DEBIT,,,,,,,,,
660892,MAESTRO,DEBIT,,,,,,,,,
660893,MAESTRO,DEBIT,,,,,,,,,
660894,MAESTRO,DEBIT,,,,,,,,,
660895,MAESTRO,DEBIT,,,,,,,,,
660896,MAESTRO,DEBIT,,,,,,,,,
660897,MAESTRO,DEBIT,,,,,,,,,
660898,MAESTRO,DEBIT,,,,,,,,,
660899,MAESTRO,DEBIT,,,,,,,,,
660900,MAESTRO,DEBIT,,,,,,,,,
660901,MAESTRO,DEBIT,,,,,,,,,
660902,MAESTRO,DEBIT,,,,,,,,,
660903,MAESTRO,DEBIT,,,,,,,,,
660904,MAESTRO,DEBIT,,,,,,,,,
660905,MAESTRO,DEBIT,,,,,,,,,
660906,MAESTRO,DEBIT,,,,,,,,,
660907,MAESTRO,DEBIT,,,,,,,,,
660908,MAESTRO,DEBIT,,,,,,,,,
660909,MAESTRO,DEBIT,,,,,,,,,
660910,MAESTRO,DEBIT,,,,,,,,,
660911,MAESTRO,DEBIT,,,,,,,,,
660912,MAESTRO,DEBIT,,,,,,,,,
660913,MAESTRO,DEBIT,,,,,,,,,
660914,MAESTRO,DEBIT,,,,,,,,,
660915,MAESTRO,DEBIT,,,,,,,,,
660916,MAESTRO,DEBIT,,,,,,,,,
660917,MAESTRO,DEBIT,,,,,,,,,
660918,MAESTRO,DEBIT,,,,,,,,,
660919,MAESTRO,DEBIT,,,,,,,,,
660920,MAESTRO,DEBIT,,,,,,,,,
660921,MAESTRO,DEBIT,,,,,,,,,
660922,MAESTRO,DEBIT,,,,,,,,,
660923,MAESTRO,DEBIT,,,,,,,,,
660924,MAESTRO,DEBIT,,,,,,,,,
660925,MAESTRO,DEBIT,,,,,,,,,
660926,MAESTRO,DEBIT,,,,,,,,,
660927,MAESTRO,DEBIT,,,,,,,,,
660928,MAESTRO,DEBIT,,,,,,,,,
660929,MAESTRO,DEBIT,,,,,,,,,
660930,MAESTRO,DEBIT,,,,,,,,,
660931,MAESTRO,DEBIT,,,,,,,,,
660932,MAESTRO,DEBIT,,,,,,,,,
660933,MAESTRO,DEBIT,,,,,,,,,
660934,MAESTRO,DEBIT,,,,,,,,,
660935,MAESTRO,DEBIT,,,,,,,,,
660936,MAESTRO,DEBIT,,,,,,,,,
660937,MAESTRO,DEBIT,,,,,,,,,
660938,MAESTRO,DEBIT,,,,,,,,,
660939,MAESTRO,DEBIT,,,,,,,,,
660940,MAESTRO,DEBIT,,,,,,,,,
660941,MAESTRO,DEBIT,,,,,,,,,
660942,MAESTRO,DEBIT,,,,,,,,,
660943,MAESTRO,DEBIT,,,,,,,,,
660944,MAESTRO,DEBIT,,,,,,,,,
660945,MAESTRO,DEBIT,,,,,,,,,
660946,MAESTRO,DEBIT,,,,,,,,,
660947,MAESTRO,DEBIT,,,,,,,,,
660948,MAESTRO,DEBIT,,,,,,,,,
660949,MAESTRO,DEBIT,,,,,,,,,
660950,MAESTRO,DEBIT,,,,,,,,,
660951,MAESTRO,DEBIT,,,,,,,,,
660952,MAESTRO,DEBIT,,,,,,,,,
660953,MAESTRO,DEBIT,,,,,,,,,
660954,MAESTRO,DEBIT,,,,,,,,,
660955,MAESTRO,DEBIT,,,,,,,,,
660956,MAESTRO,DEBIT,,,,,,,,,
660957,MAESTRO,DEBIT,,,,,,,,,
660958,MAESTRO,DEBIT,,,,,,,,,
660959,MAESTRO,DEBIT,,,,,,,,,
660960,MAESTRO,DEBIT,,,,,,,,,
660961,MAESTRO,DEBIT,,,,,,,,,
660962,MAESTRO,DEBIT,,,,,,,,,
660963,MAESTRO,DEBIT,,,,,,,,,
660964,MAESTRO,DEBIT,,,,,,,,,
660965,MAESTRO,DEBIT,,,,,,,,,
660966,MAESTRO,DEBIT,,,,,,,,,
660967,MAESTRO,DEBIT,,,,,,,,,
660968,MAESTRO,DEBIT,,,,,,,,,
660969,MAESTRO,DEBIT,,,,,,,,,
660970,MAESTRO,DEBIT,,,,,,,,,
660971,MAESTRO,DEBIT,,,,,,,,,
660972,MAESTRO,DEBIT,,,,,,,,,
660973,MAESTRO,DEBIT,,,,,,,,,
660974,MAESTRO,DEBIT,,,,,,,,,
660975,MAESTRO,DEBIT,,,,,,,,,
660976,MAESTRO,DEBIT,,,,,,,,,
660977,MAESTRO,DEBIT,,,,,,,,,
660978,MAESTRO,DEBIT,,,,,,,,,
660979,MAESTRO,DEBIT,,,,,,,,,
660980,MAESTRO,DEBIT,,,,,,,,,
660981,MAESTRO,DEBIT,,,,,,,,,
660982,MAESTRO,DEBIT,,,,,,,,,
660983,MAESTRO,DEBIT,,,,,,,,,
660984,MAESTRO,DEBIT,,,,,,,,,
660985,MAESTRO,DEBIT,,,,,,,,,
660986,MAESTRO,DEBIT,,,,,,,,,
660987,MAESTRO,DEBIT,,,,,,,,,
660988,MAESTRO,DEBIT,,,,,,,,,
660989,MAESTRO,DEBIT,,,,,,,,,
660990,MAESTRO,DEBIT,,,,,,,,,
660991,MAESTRO,DEBIT,,,,,,,,,
660992,MAESTRO,DEBIT,,,,,,,,,
660993,MAESTRO,DEBIT,,,,,,,,,
660994,MAESTRO,DEBIT,,,,,,,,,
660995,MAESTRO,DEBIT,,,,,,,,,
660996,MAESTRO,DEBIT,,,,,,,,,
660997,MAESTRO,DEBIT,,,,,,,,,
660998,MAESTRO,DEBIT,,,,,,,,,
660999,MAESTRO,DEBIT,,,,,,,,,
661000,MAESTRO,DEBIT,,,,,,,,,
661001,MAESTRO,DEBIT,,,,,,,,,
661002,MAESTRO,DEBIT,,,,,,,,,
661003,MAESTRO,DEBIT,,,,,,,,,
661004,MAESTRO,DEBIT,,,,,,,,,
661005,MAESTRO,DEBIT,,,,,,,,,
661006,MAESTRO,DEBIT,,,,,,,,,
661007,MAESTRO,DEBIT,,,,,,,,,
661008,MAESTRO,DEBIT,,,,,,,,,
661009,MAESTRO,DEBIT,,,,,,,,,
661010,MAESTRO,DEBIT,,,,,,,,,
661011,MAESTRO,DEBIT,,,,,,,,,
661012,MAESTRO,DEBIT,,,,,,,,,
661013,MAESTRO,DEBIT,,,,,,,,,
661014,MAESTRO,DEBIT,,,,,,,,,
661015,MAESTRO,DEBIT,,,,,,,,,
661016,MAESTRO,DEBIT,,,,,,,,,
661017,MAESTRO,DEBIT,,,,,,,,,
661018,MAESTRO,DEBIT,,,,,,,,,
661019,MAESTRO,DEBIT,,,,,,,,,
661020,MAESTRO,DEBIT,,,,,,,,,
661021,MAESTRO,DEBIT,,,,,,,,,
661022,MAESTRO,DEBIT,,,,,,,,,
661023,MAESTRO,DEBIT,,,,,,,,,
661024,MAESTRO,DEBIT,,,,,,,,,
661025,MAESTRO,DEBIT,,,,,,,,,
661026,MAESTRO,DEBIT,,,,,,,,,
661027,MAESTRO,DEBIT,,,,,,,,,
661028,MAESTRO,DEBIT,,,,,,,,,
661029,MAESTRO,DEBIT,,,,,,,,,
661030,MAESTRO,DEBIT,,,,,,,,,
661031,MAESTRO,DEBIT,,,,,,,,,
661032,MAESTRO,DEBIT,,,,,,,,,
661033,MAESTRO,DEBIT,,,,,,,,,
661034,MAESTRO,DEBIT,,,,,,,,,
661035,MAESTRO,DEBIT,,,,,,,,,
661036,MAESTRO,DEBIT,,,,,,,,,
661037,MAESTRO,DEBIT,,,,,,,,,
661038,MAESTRO,DEBIT,,,,,,,,,
661039,MAESTRO,DEBIT,,,,,,,,,
661040,MAESTRO,DEBIT,,,,,,,,,
661041,MAESTRO,DEBIT,,,,,,,,,
661042,MAESTRO,DEBIT,,,,,,,,,
